,_ID, TimeSt,Country,Province,City,Latitude,Longitude,Closest Poi
5025,4823433,2017-06-21 19:20:57.647,CA,ON,Toronto,43.64365,-79.4195,POI3
5026,4823448,2017-06-21 12:20:58.313,CA,BC,Vancouver,49.26287,-123.12832,POI1
5027,4823543,2017-06-21 12:20:58.713,CA,MB,Winnipeg,49.92454,-97.20577,POI1
5028,4823599,2017-06-21 16:20:59.863,CA,BC,Mackenzie,55.2903,-123.15936,POI1
5029,4823688,2017-06-21 08:20:56.660,CA,AB,Edmonton,53.4653,-113.385,POI1
5030,4823714,2017-06-21 01:20:56.950,CA,AB,Calgary,51.0419,-114.061,POI1
5031,4823736,2017-06-21 01:20:57.163,CA,AB,Edmonton,53.5185,-113.6579,POI1
5032,4823824,2017-06-21 03:20:58.270,CA,AB,Calgary,51.08108,-114.06459,POI1
5033,4823922,2017-06-21 10:20:57.177,CA,AB,Edmonton,53.55,-113.5,POI1
5034,4823968,2017-06-21 03:20:57.720,CA,ON,Oshawa,43.94273,-78.89899,POI3
5035,4824066,2017-06-21 13:20:57.780,CA,ON,Brampton,43.71062,-79.74375,POI3
5036,4824273,2017-06-21 07:20:58.427,CA,ON,Mississauga,43.5296,-79.663,POI3
5037,4824438,2017-06-21 18:20:58.677,CA,ON,Mississauga,43.5296,-79.663,POI3
5038,4824531,2017-06-21 01:20:59.727,CA,QC,Laval,45.54228,-73.76687,POI3
5039,4824672,2017-06-21 00:21:00.180,CA,NB,Oromocto,45.8447,-66.4812,POI4
5040,4824694,2017-06-21 03:21:03.893,CA,ON,Burlington,43.39277,-79.78853,POI3
5041,4824763,2017-06-21 15:21:04.063,CA,ON,Mississauga,43.59274,-79.71183,POI3
5042,4824821,2017-06-21 19:21:03.743,CA,AB,Edmonton,53.44217,-113.44521,POI1
5043,4824915,2017-06-21 14:21:03.767,CA,AB,Edmonton,53.5436,-113.5574,POI1
5044,4824986,2017-06-21 03:21:03.867,CA,ON,Saint Catharines,43.1593,-79.2615,POI3
5045,4824989,2017-06-21 15:21:03.920,CA,ON,Saint Catharines,43.1593,-79.2615,POI3
5046,4825034,2017-06-21 17:21:04.990,CA,AB,Edmonton,53.5181,-113.5797,POI1
5047,4825035,2017-06-21 19:21:07.177,CA,QC,Saint-Hubert,45.416,-73.0071,POI3
5048,4825116,2017-06-21 19:21:03.840,CA,ON,Toronto,43.6459,-79.3857,POI3
5049,4825171,2017-06-21 04:21:03.917,CA,ON,Toronto,43.6587,-79.3836,POI3
5050,4825241,2017-06-21 08:21:03.923,CA,ON,Toronto,43.6781,-79.2954,POI3
5051,4825260,2017-06-21 16:21:04.037,CA,ON,Toronto,43.6796,-79.4343,POI3
5052,4825319,2017-06-21 19:21:07.230,CA,AB,Edmonton,53.44217,-113.44521,POI1
5053,4825359,2017-06-21 21:21:08.400,CA,QC,Saint-Laurent,45.50376,-73.68476,POI3
5054,4825451,2017-06-21 04:21:03.830,CA,ON,Kitchener,43.4381,-80.5099,POI3
5055,4825503,2017-06-21 00:21:03.943,CA,ON,Ottawa,45.4198,-75.704,POI3
5056,4825525,2017-06-21 03:21:05.930,CA,AB,Edmonton,53.4564,-113.521,POI1
5057,4825532,2017-06-21 09:21:06.957,CA,AB,Edmonton,53.59728,-113.43922,POI1
5058,4825653,2017-06-21 20:21:03.827,CA,ON,Toronto,43.7537,-79.2659,POI3
5059,4825836,2017-06-21 20:21:03.900,CA,ON,Ottawa,45.4019,-75.7513,POI3
5060,4825876,2017-06-21 21:21:03.910,CA,ON,Etobicoke,43.6879,-79.557,POI3
5061,4825949,2017-06-21 06:21:03.947,CA,BC,Vancouver,49.2765,-123.12155,POI1
5062,4826033,2017-06-21 17:21:05.163,CA,ON,Toronto,43.6386,-79.43707,POI3
5063,4826108,2017-06-21 13:21:06.977,CA,AB,Edmonton,53.59728,-113.43922,POI1
5064,4826138,2017-06-21 10:21:11.180,CA,ON,Mississauga,43.5771,-79.6306,POI3
5065,4826224,2017-06-21 07:21:07.987,CA,BC,Vancouver,49.26946,-123.10281,POI1
5066,4826306,2017-06-21 16:21:08.730,CA,BC,Vancouver,49.23806,-123.1182,POI1
5067,4826334,2017-06-21 03:21:11.540,CA,ON,Toronto,43.6735,-79.403,POI3
5068,4826366,2017-06-21 13:21:13.017,CA,ON,Timmins,48.47408,-81.343,POI3
5069,4826491,2017-06-21 02:21:13.390,CA,AB,Calgary,51.0381,-114.118,POI1
5070,4826584,2017-06-21 22:21:09.430,CA,AB,Sherwood Park,53.528,-113.2512,POI1
5071,4826621,2017-06-21 13:21:12.953,CA,ON,Kitchener,43.4631,-80.4493,POI3
5072,4826685,2017-06-21 11:21:13.333,CA,ON,Toronto,43.6682,-79.4209,POI3
5073,4826780,2017-06-21 13:21:13.487,CA,QC,Saint-Constant,45.3668,-73.5659,POI3
5074,4826796,2017-06-21 00:21:13.790,CA,ON,Mississauga,43.6046,-79.6729,POI3
5075,4826809,2017-06-21 03:21:14.077,CA,AB,Calgary,51.0233,-114.071,POI1
5076,4826892,2017-06-21 18:21:12.657,CA,NS,Halifax,44.6701,-63.6036,POI4
5077,4826920,2017-06-21 05:21:13.047,CA,ON,London,42.9399,-81.2709,POI3
5078,4827006,2017-06-21 12:21:13.367,CA,AB,Edmonton,53.585,-113.5526,POI1
5079,4827050,2017-06-21 08:21:13.003,CA,ON,Ottawa,45.3617,-75.7905,POI3
5080,4827124,2017-06-21 16:21:13.977,CA,AB,Lacombe,52.4674,-113.712,POI1
